line,time,score,numBroken,brokenInvariants,brokenSensors
=>406,276648000.000,0.000000,0,"[]","[]"
=>407,276654000.000,0.000000,0,"[]","[]"
=>408,276660000.000,0.000000,0,"[]","[]"
=>409,276666000.000,0.000000,0,"[]","[]"
=>410,276672000.000,0.000000,0,"[]","[]"
=>411,276678000.000,0.000000,0,"[]","[]"
=>412,276684000.000,0.000000,0,"[]","[]"
=>413,276690000.000,0.000000,0,"[]","[]"
=>414,276696000.000,0.000000,0,"[]","[]"
=>415,276702000.000,0.000000,0,"[]","[]"
=>416,276708000.000,0.000000,0,"[]","[]"
=>417,276714000.000,0.000000,0,"[]","[]"
=>418,276720000.000,0.000000,0,"[]","[]"
=>419,276726000.000,0.000000,0,"[]","[]"
=>420,276732000.000,0.000000,0,"[]","[]"
=>421,276738000.000,0.000000,0,"[]","[]"
=>422,276744000.000,0.000000,0,"[]","[]"
=>423,276750000.000,0.000000,0,"[]","[]"
=>424,276756000.000,0.000000,0,"[]","[]"
=>425,276762000.000,0.000000,0,"[]","[]"
=>426,276768000.000,0.000000,0,"[]","[]"
=>427,276774000.000,0.000000,0,"[]","[]"
=>428,276780000.000,0.000000,0,"[]","[]"
=>429,276786000.000,0.000000,0,"[]","[]"
=>430,276792000.000,0.000000,0,"[]","[]"
=>431,276798000.000,0.000000,0,"[]","[]"
=>432,276804000.000,0.000000,0,"[]","[]"
=>433,276810000.000,0.000000,0,"[]","[]"
=>434,276816000.000,0.000000,0,"[]","[]"
=>435,276822000.000,0.000000,0,"[]","[]"
=>436,276828000.000,0.000000,0,"[]","[]"
=>437,276834000.000,0.000000,0,"[]","[]"
=>438,276840000.000,0.000000,0,"[]","[]"
=>439,276846000.000,0.000000,0,"[]","[]"
=>440,276852000.000,0.000000,0,"[]","[]"
=>441,276858000.000,0.000000,0,"[]","[]"
=>442,276864000.000,0.000000,0,"[]","[]"
=>443,276870000.000,0.000000,0,"[]","[]"
=>444,276876000.000,0.000000,0,"[]","[]"
=>445,276882000.000,0.000000,0,"[]","[]"
=>446,276888000.000,0.000000,0,"[]","[]"
=>447,276894000.000,0.000000,0,"[]","[]"
=>448,276900000.000,0.000000,0,"[]","[]"
=>449,276906000.000,0.000000,0,"[]","[]"
=>450,276912000.000,0.000000,0,"[]","[]"
=>451,276918000.000,0.000000,0,"[]","[]"
=>452,276924000.000,0.000000,0,"[]","[]"
=>453,276930000.000,0.000000,0,"[]","[]"
=>454,276936000.000,0.000000,0,"[]","[]"
=>455,276942000.000,0.000000,0,"[]","[]"
=>456,276948000.000,0.000000,0,"[]","[]"
=>457,276954000.000,0.000000,0,"[]","[]"
=>458,276960000.000,0.000000,0,"[]","[]"
=>459,276966000.000,0.000000,0,"[]","[]"
=>460,276972000.000,0.000000,0,"[]","[]"
=>461,276978000.000,0.000000,0,"[]","[]"
=>462,276984000.000,0.000000,0,"[]","[]"
=>463,276990000.000,0.000000,0,"[]","[]"
=>464,276996000.000,0.000000,0,"[]","[]"
=>465,277002000.000,0.000000,0,"[]","[]"
=>466,277008000.000,0.000000,0,"[]","[]"
=>467,277014000.000,0.000000,0,"[]","[]"
=>468,277020000.000,0.000000,0,"[]","[]"
=>469,277026000.000,0.000000,0,"[]","[]"
=>470,277032000.000,0.000000,0,"[]","[]"
=>471,277038000.000,0.000000,0,"[]","[]"
=>472,277044000.000,0.000000,0,"[]","[]"
