line,time,score,numBroken,brokenInvariants,brokenSensors
=>177,10680000.000,0.000000,0,"[]","[]"
=>178,10740000.000,0.000000,0,"[]","[]"
=>179,10800000.000,0.000000,0,"[]","[]"
=>180,10860000.000,0.000000,0,"[]","[]"
=>181,10920000.000,0.000000,0,"[]","[]"
=>182,10980000.000,0.000000,0,"[]","[]"
=>183,11040000.000,0.000000,0,"[]","[]"
=>184,11100000.000,0.000000,0,"[]","[]"
=>185,11160000.000,0.000000,0,"[]","[]"
=>186,11220000.000,0.000000,0,"[]","[]"
=>187,11280000.000,0.000000,0,"[]","[]"
=>188,11340000.000,0.000000,0,"[]","[]"
=>189,11400000.000,0.000000,0,"[]","[]"
=>190,11460000.000,0.000000,0,"[]","[]"
=>191,11520000.000,0.000000,0,"[]","[]"
=>192,11580000.000,0.000000,0,"[]","[]"
=>193,11640000.000,0.000000,0,"[]","[]"
=>194,11700000.000,0.000000,0,"[]","[]"
=>195,11760000.000,0.000000,0,"[]","[]"
=>196,11820000.000,0.000000,0,"[]","[]"
=>197,11880000.000,0.000000,0,"[]","[]"
=>198,11940000.000,0.000000,0,"[]","[]"
=>199,12000000.000,0.000000,0,"[]","[]"
=>200,12060000.000,0.000000,0,"[]","[]"
=>201,12120000.000,0.000000,0,"[]","[]"
=>202,12180000.000,0.000000,0,"[]","[]"
=>203,12240000.000,0.000000,0,"[]","[]"
=>204,12300000.000,0.000000,0,"[]","[]"
=>205,12360000.000,0.000000,0,"[]","[]"
=>206,12420000.000,0.000000,0,"[]","[]"
=>207,12480000.000,0.000000,0,"[]","[]"
=>208,12540000.000,0.000000,0,"[]","[]"
=>209,12600000.000,0.000000,0,"[]","[]"
=>210,12660000.000,0.000000,0,"[]","[]"
=>211,12720000.000,0.000000,0,"[]","[]"
=>212,12780000.000,0.000000,0,"[]","[]"
=>213,12840000.000,0.000000,0,"[]","[]"
=>214,12900000.000,0.000000,0,"[]","[]"
=>215,12960000.000,0.000000,0,"[]","[]"
=>216,13020000.000,0.000000,0,"[]","[]"
=>217,13080000.000,0.000000,0,"[]","[]"
=>218,13140000.000,0.000000,0,"[]","[]"
=>219,13200000.000,0.000000,0,"[]","[]"
=>220,13260000.000,0.000000,0,"[]","[]"
=>221,13320000.000,0.000000,0,"[]","[]"
=>222,13380000.000,0.000000,0,"[]","[]"
=>223,13440000.000,0.000000,0,"[]","[]"
=>224,13500000.000,0.000000,0,"[]","[]"
=>225,13560000.000,0.000000,0,"[]","[]"
=>226,13620000.000,0.000000,0,"[]","[]"
=>227,13680000.000,0.000000,0,"[]","[]"
=>228,13740000.000,0.000000,0,"[]","[]"
=>229,13800000.000,0.000000,0,"[]","[]"
=>230,13860000.000,0.000000,0,"[]","[]"
=>231,13920000.000,0.000000,0,"[]","[]"
=>232,13980000.000,0.000000,0,"[]","[]"
=>233,14040000.000,0.000000,0,"[]","[]"
=>234,14100000.000,0.000000,0,"[]","[]"
=>235,14160000.000,0.000000,0,"[]","[]"
=>236,14220000.000,0.000000,0,"[]","[]"
=>237,14280000.000,0.000000,0,"[]","[]"
=>238,14340000.000,0.000000,0,"[]","[]"
=>239,14400000.000,0.000000,0,"[]","[]"
=>240,14460000.000,0.000000,0,"[]","[]"
=>241,14520000.000,0.000000,0,"[]","[]"
=>242,14580000.000,0.000000,0,"[]","[]"
=>243,14640000.000,0.000000,0,"[]","[]"
=>244,14700000.000,0.000000,0,"[]","[]"
=>245,14760000.000,0.000000,0,"[]","[]"
=>246,14820000.000,0.000000,0,"[]","[]"
=>247,14880000.000,0.000000,0,"[]","[]"
=>248,14940000.000,0.000000,0,"[]","[]"
=>249,15000000.000,0.000000,0,"[]","[]"
=>250,15060000.000,0.000000,0,"[]","[]"
=>251,15120000.000,0.000000,0,"[]","[]"
=>252,15180000.000,0.000000,0,"[]","[]"
=>253,15240000.000,0.000000,0,"[]","[]"
=>254,15300000.000,0.000000,0,"[]","[]"
=>255,15360000.000,0.000000,0,"[]","[]"
=>256,15420000.000,0.000000,0,"[]","[]"
=>257,15480000.000,0.000000,0,"[]","[]"
=>258,15540000.000,0.000000,0,"[]","[]"
=>259,15600000.000,0.000000,0,"[]","[]"
=>260,15660000.000,0.000000,0,"[]","[]"
=>261,15720000.000,0.000000,0,"[]","[]"
=>262,15780000.000,0.000000,0,"[]","[]"
=>263,15840000.000,0.000000,0,"[]","[]"
=>264,15900000.000,0.000000,0,"[]","[]"
=>265,15960000.000,0.000000,0,"[]","[]"
=>266,16020000.000,0.000000,0,"[]","[]"
=>267,16080000.000,0.000000,0,"[]","[]"
=>268,16140000.000,0.000000,0,"[]","[]"
=>269,16200000.000,0.000000,0,"[]","[]"
=>270,16260000.000,0.000000,0,"[]","[]"
=>271,16320000.000,0.000000,0,"[]","[]"
=>272,16380000.000,0.000000,0,"[]","[]"
=>273,16440000.000,0.000000,0,"[]","[]"
=>274,16500000.000,0.000000,0,"[]","[]"
=>275,16560000.000,0.000000,0,"[]","[]"
=>276,16620000.000,0.000000,0,"[]","[]"
=>277,16680000.000,0.000000,0,"[]","[]"
=>278,16740000.000,0.000000,0,"[]","[]"
=>279,16800000.000,0.000000,0,"[]","[]"
=>280,16860000.000,0.000000,0,"[]","[]"
=>281,16920000.000,0.000000,0,"[]","[]"
=>282,16980000.000,0.000000,0,"[]","[]"
=>283,17040000.000,0.000000,0,"[]","[]"
=>284,17100000.000,0.000000,0,"[]","[]"
=>285,17160000.000,0.000000,0,"[]","[]"
=>286,17220000.000,0.000000,0,"[]","[]"
=>287,17280000.000,0.000000,0,"[]","[]"
=>288,17340000.000,0.000000,0,"[]","[]"
=>289,17400000.000,0.000000,0,"[]","[]"
=>290,17460000.000,0.000000,0,"[]","[]"
=>291,17520000.000,0.000000,0,"[]","[]"
=>292,17580000.000,0.000000,0,"[]","[]"
=>293,17640000.000,0.000000,0,"[]","[]"
=>294,17700000.000,0.000000,0,"[]","[]"
=>295,17760000.000,0.000000,0,"[]","[]"
=>296,17820000.000,0.000000,0,"[]","[]"
=>297,17880000.000,0.000000,0,"[]","[]"
=>298,17940000.000,0.000000,0,"[]","[]"
=>299,18000000.000,0.000000,0,"[]","[]"
=>300,18060000.000,0.000000,0,"[]","[]"
=>301,18120000.000,0.000000,0,"[]","[]"
=>302,18180000.000,0.000000,0,"[]","[]"
=>303,18240000.000,0.000000,0,"[]","[]"
=>304,18300000.000,0.000000,0,"[]","[]"
=>305,18360000.000,0.000000,0,"[]","[]"
=>306,18420000.000,0.000000,0,"[]","[]"
=>307,18480000.000,0.000000,0,"[]","[]"
=>308,18540000.000,0.000000,0,"[]","[]"
=>309,18600000.000,0.000000,0,"[]","[]"
=>310,18660000.000,0.000000,0,"[]","[]"
=>311,18720000.000,0.000000,0,"[]","[]"
=>312,18780000.000,0.000000,0,"[]","[]"
=>313,18840000.000,0.000000,0,"[]","[]"
=>314,18900000.000,0.000000,0,"[]","[]"
=>315,18960000.000,0.000000,0,"[]","[]"
=>316,19020000.000,0.000000,0,"[]","[]"
=>317,19080000.000,0.000000,0,"[]","[]"
